tilltalsnamn,2014,2015,2016,2017,2018,2019
Abir,0,0,5,0,2,3
Abolfazl,0,0,3,0,0,0
Abra,0,0,0,0,0,0
Abraham,6,5,9,7,6,12
Abram,0,3,0,4,0,0
Abrar,0,0,3,3,3,2
Abrham,0,0,0,0,0,0
Abril,0,0,2,0,0,0
Absalat,0,0,0,0,2,0
Abshir,0,0,0,2,2,0
Abtin,2,0,0,0,0,0
Abu,0,0,0,0,2,0
Abu Bakr,0,0,0,0,0,0
Abubakar,7,7,7,8,6,3
Abu-Bakar,0,0,0,0,0,0
Abubaker,3,0,0,0,0,0
Abubakir,0,0,0,0,0,0
Abubakr,2,0,2,0,3,0
Abukar,2,0,2,0,3,0
Abulfazl,0,0,0,0,0,0
Abyan,0,0,0,2,0,0
Ace,5,5,2,3,2,5
Acelya,0,0,0,0,0,0
Achilleas,0,0,0,3,0,0
Achilles,0,0,2,0,5,0
Acke,11,3,4,6,5,7
Ada,29,28,38,41,47,55
Adal,0,0,2,0,0,0
Adalia,0,2,0,0,0,0
Adam,458,537,574,610,635,612
Ádám,0,0,0,0,2,0
Adam Ahmad,0,0,0,0,0,0
Adama,4,0,2,0,0,3
Adamas,0,0,0,2,0,0
Adan,2,2,4,4,0,4
Adar,6,5,2,6,6,6
Adas,0,0,0,0,2,0
Adde,0,0,0,0,0,0
Addi,0,0,0,0,0,0
Addin,0,0,0,0,0,0
Adea,5,2,9,7,12,8
Adeeb,0,0,0,0,0,0
Adeen,0,0,0,2,0,0
Adel,7,7,11,10,8,15
Adél,0,0,0,0,2,0
Adela,9,17,11,13,8,8
Adéla,0,0,0,0,0,0
Adelaide,2,2,0,0,0,0
Adele,89,92,124,103,68,75
Adelé,2,0,0,0,0,0
Adéle,11,5,5,7,7,5
Adèle,7,10,6,5,0,7
Adelia,15,14,12,25,15,10
Adélia,0,0,0,2,0,0
Adelie,0,2,3,0,3,6
Adélie,0,0,0,0,0,0
Adelina,20,15,23,15,12,12
Adeline,11,18,17,19,22,31
Adelinn,0,0,0,0,0,0
Adelinne,0,0,0,2,0,0
Adelisa,0,2,0,0,0,0
Adell,2,0,0,2,3,0
Adella,2,0,2,5,5,0
Adelle,17,25,21,4,8,2
Adelyn,2,0,0,0,0,0
Adem,18,20,17,13,12,22
Aden,0,0,0,0,0,2
Adeola,0,0,0,0,0,0
Adham,3,4,2,0,8,5
Adi,2,2,3,0,5,4
Adia,0,0,0,0,2,0
Adiam,0,0,0,2,3,0
Adian,3,6,8,10,4,6
Adib,0,2,0,2,2,0
Adiel,0,0,0,0,2,0
Adijan,2,0,0,0,0,3
Adil,10,6,2,7,5,4
Adila,0,3,0,0,0,0
Adile,0,0,0,0,0,0
Adin,12,10,13,13,14,18
Adina,12,14,15,8,8,10
Adine,0,2,2,0,0,2
Adis,3,2,2,2,4,0
Adisa,0,0,0,0,0,0
Adison,0,0,0,0,0,0
Aditi,0,0,2,0,0,0
Aditya,0,0,2,2,0,0
Adlina,0,0,0,0,0,0
Adm,0,0,2,0,0,0
Admir,0,0,0,0,0,0
Adna,14,19,9,7,17,7
Adnaan,0,3,2,3,0,0
Adnan,21,25,18,22,27,27
Adni,0,0,0,0,0,0
Adomas,0,0,0,0,2,0
Adon,0,0,0,0,0,0
Adonai,2,0,2,0,5,3
Adonay,2,0,0,11,11,10
Adonia,0,0,0,0,0,0
Adonis,2,2,4,0,2,0
Adora,0,4,4,0,7,8
Adrean,0,0,0,0,0,0
Adria,0,0,0,0,0,0
Adriaan,0,0,0,0,0,0
Adrian,444,411,551,501,440,493
Adrián,3,3,3,4,0,9
Adriana,29,28,32,26,28,22
Adrianna,3,0,0,0,2,0
Adrianne,0,0,0,0,0,0
Adriano,7,11,6,5,10,10
Adriatik,3,0,0,0,0,0
Adriel,0,3,6,2,2,10
Adrien,0,0,0,2,0,0
Adrienne,2,6,2,4,3,7
Adrijan,0,3,0,2,0,0
Adrijana,0,0,0,0,2,2
Adrina,0,3,6,3,3,4
Adrita,0,0,0,0,2,0
Advait,0,0,0,0,0,0
Advik,0,0,2,2,2,2
Advin,0,2,0,0,0,0
Adyaan,0,0,0,0,0,0
Adyan,3,0,5,4,5,2
Aedan,3,2,2,0,0,0
Aela,3,0,2,0,0,0
Aelia,0,0,0,0,3,0
Afaf,0,2,0,2,3,0
Affan,0,3,0,3,0,0
Affe,0,0,0,0,0,0
Afia,0,0,0,0,0,0
Afifa,2,0,2,3,0,0
Afifah,0,0,0,2,0,0
Afnaan,2,0,5,0,2,0
Afnan,5,5,10,6,6,4
Afonso,2,0,0,0,0,0
Afra,0,0,0,0,0,0
Afrah,0,0,4,2,0,2
Afram,0,0,0,0,0,0
Afrata,0,0,0,0,2,0
Afreen,0,0,0,0,0,0
Afrida,0,0,0,0,0,0
Afrodite,0,2,0,0,0,0
Afroditi,0,0,0,0,2,0
Afshin,0,0,0,0,0,0
Agam,0,0,0,0,0,0
Agata,0,2,2,5,3,3
Agathon,5,0,0,5,0,2
Agaton,12,17,14,15,16,10
Agda,0,0,8,4,2,3
Aggeliki,0,0,0,0,0,0
Aggelos,0,0,0,0,2,0
Agi,0,0,0,0,0,0
Agim,2,2,0,0,0,0
Agit,0,2,0,0,0,0
Agnar,0,0,0,0,2,2
Agne,0,0,3,3,3,5
Agnes,668,549,567,541,528,555
Agnès,0,0,0,0,0,0
Agnes Cecilia,0,0,0,0,0,0
Agnesa,0,2,3,0,2,0
Agnes-Cecilia,0,0,0,0,0,0
Agneta,0,0,0,0,0,0
Agnez,5,0,0,3,0,0
Agon,0,0,2,3,0,0
Agota,2,0,0,0,0,0
Agri,0,0,0,2,0,0
Agrin,0,0,0,0,2,0
Agron,0,0,0,0,0,0
Agust,24,15,10,11,11,17
Ágúst,0,0,0,0,2,0
Agustina,2,0,0,2,0,0
Ahaan,0,0,2,0,2,0
Ahad,2,0,0,0,4,0
Ahamed,2,0,0,0,0,0
Ahana,0,0,0,0,3,0
Ahed,0,0,0,0,0,0
Ahgnes,0,0,0,0,0,0
Ahil,0,0,0,3,2,2
Ahin,0,0,0,0,0,0
Ahlaam,7,5,6,4,2,3
Ahlam,12,12,10,10,9,11
Ahlan,0,2,0,0,0,0
Ahmad,42,63,68,98,84,72
Ahmed,94,105,89,87,78,84
Ahmed-Nuur,0,0,0,0,0,0
Ahmet,7,5,2,2,4,2
Ahmmad,0,2,0,0,0,0
Ahsen,0,0,0,2,0,0
Ahyan,0,0,0,2,0,0
Ahzab,0,0,4,0,0,0
Aia,2,3,0,0,0,2
Aiat,0,0,0,0,0,0
Aicha,7,8,8,6,7,8
Aïcha,2,0,0,0,0,0
Aid,0,0,2,2,0,2
Aida,12,11,13,20,21,18
Aïda,0,0,0,0,0,0
Aidah,0,0,0,0,0,0
Aidan,7,7,5,6,9,2
Aiden,15,18,23,28,15,37
