tilltalsnamn,2014,2015,2016,2017,2018,2019
Darina,0,0,0,0,2,0
Dario,6,3,6,4,9,6
Darion,2,0,0,0,0,0
Daris,11,11,10,10,5,7
Darisa,0,0,0,0,0,0
Darisha,0,0,0,0,0,0
Darius,7,6,4,2,6,5
Dariush,0,4,0,0,0,3
Dariyan,0,0,0,0,0,0
Darja,2,2,0,2,0,0
Darko,0,0,0,0,2,0
Darlene,0,0,0,0,0,0
Daro,0,0,0,0,0,0
Daron,0,0,0,0,0,0
Darvan,0,0,0,0,0,0
Darvin,3,2,0,2,0,0
Darwin,2,6,6,6,5,3
Darya,4,5,2,7,4,4
Daryan,5,2,0,4,2,2
Dastan,4,6,0,7,7,2
Daud,3,7,3,0,2,3
Dawda,3,0,0,0,0,0
Dave,0,0,0,0,0,0
David,216,180,184,152,160,150
Dawid,6,4,4,4,10,5
Dávid,0,0,0,0,0,3
Davida,0,0,2,0,0,0
Daviel,0,0,0,0,0,0
Davin,3,2,4,0,2,0
Dawin,0,0,0,0,0,0
Davina,0,0,0,2,5,4
Davinci,0,0,0,0,0,0
Davis,0,0,0,0,3,0
Davit,0,2,0,0,2,0
Dawit,0,2,4,2,3,8
Dawn,0,0,0,0,0,0
Dawod,0,0,0,0,0,0
Dawood,3,0,3,4,4,4
Davud,5,5,2,5,6,4
Dawud,0,0,3,0,0,0
Dayan,2,0,0,0,0,0
Dayana,0,0,2,0,3,3
Daymon,0,0,0,0,0,0
Dayton,0,0,0,2,0,0
Dea,11,4,10,5,6,12
Dean,3,8,6,9,2,6
Deana,0,0,0,0,2,0
Debbie,3,0,2,5,0,2
Debora,0,6,2,2,4,5
Deborah,4,4,2,4,6,9
December,2,0,0,0,0,0
Decibel,5,0,8,4,3,0
Decibell,0,2,0,0,0,2
Decibelle,5,5,7,5,4,6
Declan,0,0,0,0,0,0
Deema,0,0,0,0,0,0
Deen,0,0,0,0,0,0
Deeqa,0,0,2,0,0,0
Defne,3,6,7,8,5,8
Deividas,0,0,0,0,0,0
Dejan,7,2,5,0,2,0
Dejvid,0,0,0,0,0,0
Deka,0,0,0,2,0,0
Deksan,0,0,0,0,0,0
Delal,0,6,0,0,2,4
Delara,0,2,0,0,0,0
Deldar,0,0,0,0,0,0
Delia,3,6,3,2,5,4
Delicia,2,4,2,0,3,0
Deliciah,0,0,0,0,2,0
Delil,0,0,0,0,2,0
Delila,0,0,2,0,0,0
Delilah,0,0,0,0,0,3
Delin,0,2,2,0,2,2
Delina,18,6,9,12,11,9
Delinda,0,0,0,0,0,0
Delisia,0,2,0,0,2,0
Della,2,3,4,5,8,6
Delmon,2,0,0,0,0,0
Delnaz,0,0,0,0,0,0
Delora,2,0,0,0,0,0
Delovan,2,0,0,0,0,0
Delsa,3,2,0,0,0,5
Delshad,0,0,0,0,0,0
Delta,0,0,2,0,0,0
Delvin,0,0,0,0,0,0
Dema,0,2,0,0,0,0
Demba,0,0,0,0,0,0
Dembo,0,0,0,0,0,3
Demhat,0,0,0,0,2,0
Demi,0,0,3,0,2,5
Demian,2,3,3,0,0,0
Demiana,0,0,0,0,0,0
Demid,2,0,0,0,0,0
Demir,2,5,3,4,6,5
Deni,2,4,0,3,0,0
Denial,0,0,0,0,2,0
Denice,3,7,0,2,2,0
Denis,9,10,10,18,9,12
Denisa,2,0,3,2,2,0
Denise,22,12,7,7,10,7
Denisé,0,0,0,0,0,0
Deniz,16,15,26,22,14,17
Denize,3,0,3,0,0,0
Denni,0,0,0,2,0,0
Dennie,0,0,0,0,0,0
Dennis,37,33,34,25,34,26
Denniz,0,2,3,3,3,0
Denny,0,0,0,0,0,0
Denver,6,11,3,2,2,2
Denzel,4,2,3,2,7,4
Deon,4,2,3,2,0,2
Deqa,0,0,0,0,0,0
Derek,0,3,0,0,0,0
Derin,3,4,4,2,6,4
Deron,0,0,0,0,0,0
Derrick,0,0,0,0,0,0
Dersim,0,2,0,0,0,0
Derya,0,3,2,0,3,3
Desideria,0,2,2,0,0,0
Desire,0,0,0,0,0,0
Desiré,0,0,0,0,0,0
Desiree,0,0,4,0,0,0
Desireé,0,0,0,0,0,0
Desirée,10,10,5,8,6,6
Désirée,2,0,2,0,3,0
Desmond,5,4,6,5,2,0
Despina,2,0,2,3,0,0
Destan,4,0,3,0,3,2
Desteny,0,0,0,0,0,0
Destin,0,0,0,3,0,0
Destiny,9,8,12,7,6,5
Deti,0,0,2,0,0,0
Deus,0,0,0,0,0,0
Dev,0,0,2,2,0,2
Deva,2,0,0,2,0,0
Devan,0,0,2,0,0,0
Deven,0,0,0,0,0,0
Devi,2,0,0,0,0,0
Devid,0,0,0,0,0,0
Devin,52,48,36,27,28,29
Dewin,14,31,23,25,18,16
Devina,0,0,0,0,0,0
Devlin,0,0,0,2,0,0
Devon,2,0,0,0,0,0
Devran,2,0,0,0,0,2
Dewran,0,4,0,0,0,3
Devrim,0,2,0,0,0,0
Dex,0,3,0,0,0,0
Dexter,66,47,39,29,37,28
Deyan,0,0,2,0,0,0
Dezibel,0,0,2,0,0,0
Dezibelle,2,0,0,0,0,0
Dhani,0,0,0,0,0,0
Dharma,0,0,0,0,0,0
Dheman,0,0,0,2,0,0
Dhoha,0,0,0,0,0,0
Dhurata,0,0,0,0,2,2
Dhvani,0,0,0,0,0,0
Dia,0,2,2,4,0,2
Diaa,0,0,0,0,3,0
Diako,0,0,3,2,4,2
Diala,0,0,0,3,0,0
Diam,2,0,0,0,0,0
Diamant,0,0,2,0,0,0
Diamanta,0,0,0,2,0,0
Diamond,2,0,6,0,5,2
Dian,2,3,0,0,5,3
Diana,52,41,40,55,51,57
Diandra,0,0,0,0,0,0
Diar,12,4,8,4,2,3
Diara,0,0,0,3,0,2
Diari,0,0,0,0,0,0
Diart,0,2,2,0,0,0
Diarta,0,0,0,0,0,0
Diaz,2,0,2,0,0,0
Diba,0,2,0,2,3,4
Dibora,0,2,0,5,0,5
Dicle,3,0,0,0,0,0
Dicte,0,3,0,0,0,2
Didan,0,0,0,0,0,0
Didar,0,2,0,0,0,0
Didem,0,0,0,2,0,0
Didric,0,0,0,0,0,0
Didrick,0,2,0,2,0,0
Didrik,27,26,24,25,27,26
Diego,2,13,16,16,6,13
Dielli,0,0,0,0,0,0
Diellza,0,0,0,0,0,0
Diem,0,0,2,0,0,0
Diesel,4,3,0,4,3,0
Diezel,0,2,0,0,0,2
Diin,0,0,0,0,0,0
Dijan,0,0,2,0,0,0
Dijana,0,0,0,0,0,0
Dijar,2,2,0,3,2,0
Dijon,3,0,0,0,2,0
Dikte,0,4,0,0,0,0
Dila,4,10,0,0,0,6
Dilan,15,12,9,6,6,10
Dilanur,0,0,0,0,0,0
Dilara,4,9,7,7,15,11
Dilay,0,0,0,0,0,0
Dilba,0,0,0,0,0,0
Dilber,2,0,0,0,0,0
Dildar,0,0,0,0,0,0
Dilek,0,0,0,0,0,0
Dilem,0,0,0,0,0,0
Dilian,0,0,0,0,0,0
Dilin,0,0,0,0,0,2
Dillon,2,0,0,0,2,0
Dilman,0,2,0,0,0,0
Dilmon,0,0,0,0,0,0
Dilnaz,0,0,0,0,0,0
Dilon,0,0,2,0,0,0
Dilovan,0,0,2,0,0,0
Dilsha,0,0,0,0,0,0
Dilva,0,2,0,0,0,0
Dilvin,0,0,0,0,0,0
Dilyar,0,0,0,0,0,0
Dima,7,10,4,7,12,10
Dimen,0,0,0,0,0,0
Dimitar,2,0,0,0,0,0
Dimitra,0,2,0,2,2,2
Dimitri,0,2,2,2,5,0
Dimitrios,0,3,2,3,6,0
Dimitris,3,0,0,4,2,0
Din,0,0,0,0,0,0
Dina,14,15,15,17,16,20
Dinah,3,0,3,0,4,5
Dino,16,12,16,14,11,15
Dio,3,2,5,3,0,0
Dion,14,11,15,16,30,46
Diona,4,4,0,0,3,0
Dionis,0,0,0,0,0,0
Dionit,0,0,0,0,0,0
Dionysios,2,0,0,0,0,0
Dior,3,2,0,3,4,0
Diora,2,6,5,8,3,7
Dis,0,0,0,0,0,0
Disa,33,42,39,33,21,31
Ditte,0,0,0,0,3,0
Diva,0,0,2,0,3,0
Divina,0,0,2,0,0,2
Divine,3,2,0,2,0,0
Divit,0,0,0,0,0,0
Divora,0,0,3,4,0,3
Divya,0,0,0,0,0,0
Dixi,2,0,0,0,0,0
Dixie,10,3,2,2,0,0
Diya,3,0,2,0,0,3
Diyako,0,0,2,0,0,3
Diyana,0,0,0,0,0,0
Diyanah,0,0,0,0,0,0
Diyar,2,2,3,3,5,5
Diza,0,0,0,0,0,0
Dizel,0,0,0,0,0,0
Djamal,0,0,0,0,0,0
Djan,0,0,0,0,0,0
Djellon,0,0,0,0,0,0
Djellza,0,0,0,0,0,0
Djemila,2,0,0,0,0,0
Djevrija,0,0,0,0,0,0
Djibril,0,0,0,0,2,0
Djingis,0,0,2,0,0,0
Dliet,2,0,0,0,0,0
Dlin,3,2,2,2,2,2
Dmitry,2,0,0,0,0,0
Doa,0,0,3,0,3,0
Doaa,0,0,0,0,2,0
Dodou,0,0,0,0,0,0
Dogan,0,0,0,0,0,0
Doglas,0,0,0,0,0,0
Doha,0,0,0,0,2,0
Dolly,0,3,0,2,2,0
Dolores,2,0,0,5,2,0
Dolph,0,0,3,0,0,0
Domantas,0,0,3,0,0,0
Domas,0,2,2,2,0,0
Domenic,3,3,4,4,4,0
Domenico,0,0,0,0,0,0
Domenik,0,0,2,0,2,0
Dominic,32,36,43,29,32,21
Dominick,0,3,0,4,0,0
Dominik,6,9,16,9,16,9
Dominika,0,2,0,3,0,0
Dominiq,0,0,0,0,0,0
Dominique,3,2,2,0,2,0
Dominyka,0,0,0,0,2,0
Dominykas,0,0,5,0,2,2
Don,0,0,2,0,2,0
Donald,0,0,0,0,0,0
Donart,0,0,2,0,0,0
Donat,0,0,0,0,0,0
Donatella,0,0,0,0,0,0
Donatello,0,2,0,0,0,0
Dones,0,0,0,0,0,0
Donia,4,4,2,3,4,7
Donik,3,0,0,0,0,0
Donika,2,0,0,2,0,0
Donja,0,0,0,0,0,0
Donjeta,0,0,0,0,0,0
Donna,2,6,7,0,3,3
Donnatella,0,0,0,0,0,0
Donnie,0,0,0,0,0,0
Donny,0,0,0,0,0,0
Donovan,0,0,0,0,0,2
Donya,4,9,7,4,7,6
Dora,5,0,4,6,7,5
Dorart,0,0,0,0,0,0
Dorela,0,0,0,0,0,0
Dorentina,0,0,0,0,0,0
Doria,0,0,0,2,0,0
Dorian,7,9,8,11,6,9
Dorina,0,0,0,0,0,2
Doris,91,68,76,56,65,61
Dorna,0,0,0,0,0,0
Dorotea,0,4,5,4,4,2
Dorothea,3,4,5,4,5,4
Dorothy,0,0,0,0,2,2
Dorsa,0,0,0,0,3,2
Doruntina,0,0,0,0,0,0
Dosti,0,0,0,0,0,0
Douaa,0,0,0,0,0,0
Doughlas,0,0,0,0,0,0
Douglas,86,70,72,56,72,39
Dounia,2,0,0,0,0,0
Dovydas,0,0,0,0,0,0
Dragan,2,3,0,0,0,0
Drake,0,0,0,0,0,0
Drej,0,0,0,0,0,0
Dren,0,0,3,0,2,0
Dreni,0,0,0,0,0,0
Drilon,2,0,0,0,0,0
Drin,0,5,0,0,2,3
Drini,0,2,0,0,0,0
Drita,0,0,0,0,0,0
Driton,0,0,0,0,0,0
Dua,3,3,5,2,12,13
Duaa,0,0,0,2,0,0
Duc,0,0,2,0,0,0
Duha,0,0,0,0,0,2
Dulguun,0,0,2,0,0,0
Duni,0,0,0,0,3,5
Dunia,0,4,2,2,2,2
Duniya,0,0,0,0,0,0
Dunja,2,0,4,2,4,4
Dunya,6,7,6,0,5,2
Durim,0,0,0,0,0,0
Duru,0,0,0,0,2,0
Dusan,0,0,0,2,2,0
Dustin,0,2,2,0,0,0
Duva,0,0,0,0,0,0
Dwayne,0,0,0,0,0,0
Dwin,2,0,0,0,0,0
Dya,0,0,0,0,2,0
Dyako,0,0,0,0,2,0
Dyar,0,0,0,0,0,0
Dylan,46,54,65,66,67,79
Dyna,0,0,0,0,0,0
Dzan,0,0,0,0,0,0
Dzana,0,0,0,0,0,0
Dzejla,0,0,0,2,0,0
Dzejlan,0,0,0,0,0,0
Dzemail,0,0,2,0,0,0
Dzenan,0,2,0,0,0,0
Dzenana,0,0,0,0,0,0
Dzenis,0,0,0,0,0,0
Ea,2,0,0,0,0,0
Eamon,0,0,0,0,0,0
Earta,0,0,0,0,3,0
Easrom,0,0,2,0,0,0
Easton,0,0,0,0,2,3
Ebba,603,576,596,593,597,590
Ebba-Li,2,0,0,0,0,0
Ebbe,329,358,332,330,368,367
Ebbie,0,0,0,0,2,0
Ebbot,69,43,46,31,39,31
Ebboth,0,2,0,0,0,0
Ebbott,4,0,0,0,2,0
Eben,0,0,0,2,2,0
Ebenezer,0,0,0,0,6,5
Ebon,0,0,0,0,2,0
Ebony,0,0,0,0,0,0
Ebou,0,0,2,0,0,0
Ebrahim,0,4,2,2,2,0
Ebrar,0,0,0,0,0,0
Ebrima,2,0,3,2,0,2
Ebru,0,0,0,2,0,0
Ebtesam,0,0,0,0,0,0
Ebu,0,0,0,0,0,0
Ebubekir,0,0,0,2,2,0
Ebyan,0,0,0,0,0,2
Ece,2,2,2,0,0,0
Ecem,0,0,2,0,0,0
Ecrin,3,3,0,0,0,2
Ed,6,8,3,6,8,7
Eda,6,7,5,7,11,5
Edanur,0,0,0,0,0,0
Edd,0,2,2,0,2,3
Edda,73,82,80,82,74,88
Edde,0,3,0,0,0,0
Eddi,5,0,5,5,4,4
Eddie,164,162,124,96,100,74
Eddin,0,0,0,0,0,0
Eddy,8,6,8,6,5,7
Edel,0,0,2,2,0,0
Edela,0,0,0,2,0,0
Edelia,0,0,0,0,2,0
Edelin,0,0,0,0,0,0
Eden,9,12,16,15,26,14
Edessa,9,12,12,10,12,11
Edgar,41,34,37,47,29,31
Edi,3,2,2,3,2,3
Edian,0,0,0,0,2,2
Edie,2,0,0,0,2,0
Edin,21,21,12,20,17,19
Edina,2,5,2,0,4,3
Ediola,0,0,0,0,0,0
Edion,0,0,0,0,0,3
Edip,0,0,0,0,0,0
Edis,2,3,2,5,5,0
Edisa,0,0,3,0,0,0
Edison,3,5,5,3,5,6
Edit,46,49,26,18,24,27
Edita,0,0,2,0,0,0
Edith,231,281,241,256,261,247
Ediz,3,6,2,9,3,5
Edla,3,3,11,6,8,10
Edmon,0,2,0,0,0,0
Edmond,4,3,3,2,0,3
Edmund,10,6,7,8,4,3
Edna,0,3,0,2,3,5
Edoardo,0,0,0,2,0,0
Edom,0,0,0,0,2,0
Edon,0,3,2,0,2,0
Edona,0,0,0,0,0,0
Edonis,0,0,0,0,0,0
Edor,0,3,0,0,0,2
Edouard,0,2,0,0,0,0
Edrik,0,2,0,0,0,0
Edrin,0,0,0,0,0,0
Edris,0,0,2,3,3,3
Edson,0,0,0,0,0,0
Eduard,2,4,4,4,2,3
Eduardo,0,0,0,0,2,2
Eduart,0,0,2,0,0,0
Edvard,47,40,43,26,36,28
Edward,101,107,97,82,66,59
Edvin,345,352,319,296,272,255
Edwin,145,135,135,98,95,83
Edvina,0,0,0,0,0,0
Edwina,0,2,0,0,3,0
Edvinas,0,0,0,0,0,0
Edwyn,0,0,0,2,0,0
Eeli,0,0,0,0,0,0
Eelis,0,0,0,0,0,0
Eemil,0,0,0,0,0,0
Eero,0,0,3,0,0,2
Eesa,0,2,0,0,2,0
Eetu,0,0,0,0,0,0
Efe,11,13,8,9,0,3
Efehan,0,0,0,0,0,0
Efekan,0,0,0,0,0,0
Efeson,0,0,0,0,0,0
Effat,0,0,0,0,2,0
Effi,0,0,0,0,0,0
Effie,0,0,0,2,4,3
Effy,0,0,0,0,2,0
Eflin,0,0,0,0,0,0
Efraim,5,8,5,6,2,6
Efrata,2,2,8,9,10,14
Efsa,0,0,0,0,0,0
Efstathios,0,0,0,0,0,0
Ege,0,0,4,2,3,0
Egil,19,9,10,6,13,10
Egle,0,0,0,2,0,0
Egon,25,25,14,17,19,11
Egor,0,0,2,0,0,0
Egshiglen,0,2,0,0,0,0
Egzon,0,0,0,0,0,0
Egzona,0,0,0,0,0,0
Eh,0,0,0,0,0,0
Ehaan,0,0,0,2,0,0
Ehab,0,0,0,0,0,0
Ehan,0,0,0,3,2,0
Ehlias,0,0,0,0,0,0
Ehsan,3,2,2,2,4,4
Eia,2,2,2,0,0,0
Eida,0,0,0,3,0,0
Eide,2,0,0,3,2,3
Eiden,2,3,0,0,0,0
Eija,12,11,5,8,7,5
Eije,3,5,8,6,9,10
Eijla,0,0,0,0,3,0
Eila,15,20,19,19,18,20
Eilaf,0,0,0,0,2,3
Eileen,3,2,4,2,6,3
Eili,0,0,0,0,5,0
Eily,0,3,0,0,4,0
Eimantas,0,2,0,0,0,0
Eimen,0,0,0,0,0,0
Eina,0,0,0,0,2,3
Einar,71,74,80,74,89,86
Eino,2,2,3,3,0,0
Eir,0,0,3,2,3,2
Eira,59,55,64,70,89,77
Eirah,0,0,0,0,3,0
Eirik,0,0,0,0,0,0
Eirin,0,2,0,0,2,2
Eisa,0,0,0,0,2,0
Eitan,0,2,0,0,0,0
Eithan,0,0,0,0,0,0
Eivin,2,4,0,4,3,4
Eivind,2,5,3,3,3,3
Eivor,2,3,3,4,0,0
Eivy,0,2,0,0,0,0
Eja,2,0,2,4,5,3
Ejda,0,0,0,0,0,0
Ejde,0,0,0,0,0,0
Eje,9,6,17,11,23,14
Ejje,2,0,0,0,0,0
Ejla,3,4,0,0,2,5
Ejna,3,0,3,3,0,2
Ejnar,0,0,0,0,0,0
Ejona,0,0,3,0,0,0
Ejvind,0,2,0,0,0,2
Ekaterina,0,3,2,0,0,0
Ekram,0,0,0,0,2,0
Ekrem,0,0,0,0,0,3
Ela,22,16,19,25,8,13
Elaf,3,0,3,3,4,5
Elaha,0,0,0,0,0,0
Elai,0,0,0,0,0,0
Elaine,2,6,4,3,0,4
Elan,0,0,0,0,0,0
Elana,0,2,0,4,0,0
Elanor,0,0,0,0,2,0
Elanur,4,3,3,3,0,0
Elara,0,0,0,0,2,7
Elba,0,2,2,3,0,3
Elbra,0,0,0,0,0,2
Elbron,0,0,0,3,2,0
Elda,2,3,3,4,4,5
Eldana,2,5,12,11,18,13
Eldar,7,10,6,14,12,9
Elde,0,0,0,0,0,0
Eldi,0,0,0,0,0,0
Eldiana,0,0,0,0,2,0
Eldin,12,10,6,11,9,6
Eldina,0,2,2,0,2,0
Eldion,2,0,0,0,0,0
Eldon,0,0,0,3,0,0
Elea,2,2,2,3,4,7
Eleah,0,0,2,2,0,2
Eleana,0,0,0,2,0,2
Eleanor,17,13,10,13,16,13
Eleanora,0,0,0,3,0,0
Eleanore,3,4,0,0,0,2
Electra,0,2,0,6,0,0
Eleen,2,0,2,2,0,3
Eleftherios,0,0,0,0,0,0
Eleja,0,0,0,0,0,0
Elektra,4,0,6,0,2,0
Elemina,0,2,0,0,0,0
Elen,2,0,8,3,2,3
Elena,33,47,39,49,68,47
Elend,0,0,2,2,0,0
Eleni,6,6,9,8,5,12
Elenie,0,0,0,0,0,0
Elenor,4,8,2,5,0,2
Elenora,0,3,0,2,4,3
Elenore,9,6,4,3,6,0
Eleonor,9,6,6,11,7,0
Eleonora,32,38,31,41,43,42
Eleonore,5,10,15,4,3,3
Éléonore,0,0,0,2,0,0
Eleus,0,0,0,0,0,0
Eleysa,0,0,0,3,2,0
Elfida,0,3,0,0,0,0
Elfie,0,0,0,0,0,0
Elfrid,2,0,0,0,0,0
Elfrida,0,0,2,0,0,0
Elfva,2,0,0,0,0,0
Elham,5,3,0,2,6,2
Elhame,0,0,0,0,0,0
Elhana,0,0,0,0,2,2
Eli,27,29,44,48,43,49
Elia,12,10,31,22,23,19
Eliab,2,0,3,0,2,4
Eliah,13,14,17,18,13,10
Eliam,3,0,6,5,8,6
Elian,20,17,15,24,30,31
Elián,0,0,0,5,0,3
Eliana,17,24,33,34,31,58
Elianna,0,0,3,0,2,2
Eliano,0,0,0,0,0,0
Elias,698,712,641,650,672,703
Elías,2,0,0,3,0,0
Eliaz,7,8,7,14,0,9
Elice,10,8,6,3,2,4
Elicia,41,43,32,36,33,33
Elida,4,5,2,3,4,2
Elidon,0,0,0,0,0,0
Elie,0,0,3,0,6,0
Eliel,2,0,0,2,0,2
Elien,0,2,0,0,0,0
Eliesa,0,0,0,0,0,0
Elif,36,38,24,18,27,11
Elife,0,0,2,0,0,0
Elif-Naz,0,0,0,0,0,0
Eliina,2,0,0,0,2,0
Eliisa,0,0,0,0,0,0
Elija,2,0,0,0,0,0
Elijah,12,23,14,26,24,26
Elijan,0,0,0,2,0,0
Elijas,3,0,3,2,2,2
Elijon,2,0,0,0,0,0
Elika,0,0,0,0,0,0
Elim,3,4,2,6,4,5
Elin,313,306,273,244,241,193
Elín,0,0,0,0,0,0
Élin,0,0,0,0,2,0
Elina,139,134,146,122,145,143
Elind,0,0,0,0,0,0
Eline,5,12,22,11,18,14
Elinea,0,0,0,0,0,0
Elinga,2,0,0,0,0,0
Elinn,0,2,0,0,0,0
Elinne,0,2,0,0,3,2
Elinor,9,12,8,7,7,9
Elinora,4,4,3,0,2,2
Elinore,5,6,4,2,2,2
Elinur,0,0,0,0,0,0
Elio,4,6,5,2,7,12
Elion,16,20,19,23,19,19
Eliona,0,0,0,3,0,0
Elionora,0,3,0,0,0,0
Eliora,8,2,2,8,0,6
Eliot,11,14,17,24,12,15
Elioth,0,0,0,0,0,0
Eliott,5,2,2,8,7,7
Elira,0,0,0,0,0,2
Elis,196,202,191,188,180,194
Elisa,73,67,66,57,44,54
Elísa,0,0,2,0,0,0
Elisabet,6,6,6,0,5,14
Elisabeth,33,35,24,21,31,40
Elisar,0,0,0,0,0,0
Elisavet,0,0,0,2,0,0
Elisaveta,0,0,0,0,0,0
Elise,303,315,309,253,268,256
Elisé,0,0,0,2,0,0
Élise,3,6,0,0,0,0
Eliseo,0,0,0,0,2,0
Elisha,2,0,0,0,0,0
Elisia,20,17,23,19,25,15
Elison,0,0,0,2,0,0
Elisra,0,0,0,0,0,0
Elissa,21,18,22,17,19,11
Elissar,0,0,0,2,0,0
Elita,0,2,3,0,0,2
Eliud,0,2,0,0,5,0
Elivia,0,0,0,0,0,0
Elix,0,0,0,3,0,0
Eliya,2,0,0,0,3,0
Eliyah,0,2,0,2,0,2
Eliyas,0,3,2,4,7,3
Eliz,2,3,5,2,6,6
Eliza,35,29,18,25,12,15
Elizabet,0,0,0,2,0,0
Elizabeta,0,0,0,0,0,0
Elizabeth,12,11,14,15,9,14
Elizan,3,4,0,0,0,0
Elizaveta,0,0,2,0,0,0
Elize,14,13,13,12,8,9
Elizia,5,4,7,2,3,4
Eljan,0,0,0,0,0,0
Eljana,0,0,0,0,2,0
Eljas,0,0,0,0,0,0
Eljesa,0,0,0,0,0,0
Ella,552,611,614,579,593,563
Ellah,3,0,0,3,3,4
Ella-Li,0,3,0,0,0,0
Ella-Louise,0,0,0,0,0,0
Ella-Maj,0,0,0,0,0,0
Ella-Maria,0,0,0,0,0,2
Ellanor,0,0,0,0,0,0
Elle,32,29,34,26,36,38
Ellemina,0,0,0,0,0,0
Ellen,515,490,498,454,451,422
Ellena,0,0,0,0,2,0
Ellenor,5,5,0,5,4,0
Ellenore,3,0,2,2,0,0
Ellery,0,0,0,0,0,0
Elli,42,46,47,45,41,60
Elliam,0,0,0,0,0,0
Ellian,0,0,2,0,0,3
Elliana,0,0,3,0,0,0
Ellias,2,0,0,0,2,0
Ellida,0,0,0,0,2,0
Ellie,362,353,405,407,414,389
Ellienor,0,2,2,0,0,0
Ellienore,0,0,0,0,0,0
Ellika,3,0,0,0,0,2
Ellin,0,3,4,3,4,2
Elling,2,2,0,0,0,0
Ellinor,80,93,69,72,62,56
Ellinora,4,2,0,0,2,6
Ellinore,15,14,23,14,16,16
Ellio,0,0,0,0,0,0
Ellion,13,9,11,22,18,9
Ellionora,0,2,0,2,0,0
Elliot,476,450,432,441,400,428
Elliot Anders,0,0,0,0,0,0
Ellioth,7,7,8,4,5,3
Elliott,63,55,67,67,43,50
Elliotte,0,0,0,0,0,0
Ellis,26,34,33,30,29,38
Elly,58,49,61,61,62,59
Elm,0,0,0,2,0,0
Elma,57,57,79,58,66,60
Elmar,2,3,4,3,5,5
Elmedin,0,3,2,5,3,5
Elmedina,4,2,0,4,3,2
Elmer,83,87,78,70,68,85
Elmeri,0,0,0,0,0,0
Elmi,2,0,0,0,0,3
Elmie,0,0,0,0,0,0
Elmin,9,6,6,6,7,5
Elmina,0,4,7,6,4,8
Elmir,0,2,3,0,4,0
Elmira,5,7,7,6,6,2
Elmo,3,2,4,0,2,5
Elmy,2,0,2,0,0,0
Elna,32,53,35,45,45,37
Elnatan,0,0,0,0,3,2
Elnathan,0,2,0,0,4,0
Elnaz,2,6,0,0,4,2
Elo,0,0,0,2,0,0
Elodie,5,3,7,9,6,7
Elodin,0,0,0,0,2,0
Elof,14,15,12,18,8,18
Elohim,0,0,2,0,0,0
Eloisa,0,0,0,0,0,0
Eloise,3,2,6,5,7,4
Elom,0,2,0,0,0,0
Elon,0,2,4,2,6,8
Elona,5,7,5,0,0,4
Elora,4,0,3,4,10,5
Elouan,0,0,0,0,0,0
Elouise,3,0,0,0,0,0
Elov,0,3,0,0,0,0
Elric,0,2,0,0,0,2
Elrik,0,0,0,2,0,0
Elsa,841,864,634,529,549,553
Elsabet,0,0,0,4,0,2
Elsalie,0,0,0,0,0,0
Else,6,8,12,8,4,6
Elsi,0,3,3,4,2,4
Elsie,81,93,110,93,119,131
Elsina,0,0,2,0,0,0
Elsy,0,7,11,10,14,9
Elthon,0,2,3,0,0,0
Eltion,0,0,0,0,0,0
Elton,229,242,276,262,302,327
Elva,2,5,4,5,5,2
Elwa,2,0,2,2,2,2
Elvan,0,0,0,0,0,0
Elvana,0,0,0,0,0,4
Elvar,0,0,2,0,3,0
Elve,2,0,3,0,2,0
Elvedin,0,4,0,2,0,0
Elvedina,2,0,0,0,0,0
Elver,0,2,0,0,0,0
Elvi,2,6,4,3,3,4
Elvie,2,0,4,2,4,3
Elviira,3,0,0,0,0,0
Elvin,165,114,143,161,126,150
Elwin,32,34,37,27,46,37
Elvina,12,9,12,13,18,6
Elwina,0,0,0,0,2,0
Elvine,4,3,0,2,0,2
Elving,3,0,0,3,0,2
Elvir,0,0,2,0,0,0
Elvira,375,291,296,296,279,280
Elwira,22,20,15,27,33,16
Elviria,0,0,0,0,0,0
Elvis,40,35,40,40,31,29
Elwis,0,0,3,0,0,0
Elvisa,0,0,0,0,0,0
Elviz,3,0,2,0,0,0
Elvy,6,9,6,7,11,12
Ely,0,0,0,0,0,0
Elyama,0,0,0,0,2,0
Elyan,0,0,0,0,0,0
Elyana,0,3,4,0,3,5
Elyas,6,5,9,6,10,10
Elyes,0,0,2,0,0,0
Elyesa,0,0,0,0,2,0
Elyna,0,0,0,0,2,0
Elyon,0,0,0,0,2,5
Elysia,0,0,2,0,0,2
Elyssa,0,0,0,2,0,0
Elza,9,7,8,5,9,6
Elze,0,0,0,0,0,0
Em,0,3,0,0,2,2
Ema,6,11,9,5,13,4
Emaan,0,2,0,0,0,0
Emad,2,4,3,10,7,5
Emal,0,0,0,0,0,0
Emalia,0,0,0,0,0,0
Eman,3,4,5,8,12,7
Emana,0,0,0,0,0,0
Emanuel,64,75,91,89,83,61
Emanuela,4,2,0,3,2,0
Emanuele,0,0,0,0,0,0
Emanuell,0,0,0,0,0,0
Emanuella,0,0,0,0,3,0
Emanuelle,0,0,0,0,2,0
Ember,0,0,0,0,0,0
Embla,39,33,44,39,34,37
Emel,4,0,0,2,0,2
Emeli,4,6,6,2,0,2
Emelia,7,7,11,3,7,4
Emelie,136,108,89,71,57,52
Emelin,0,0,0,0,2,0
Emelina,6,7,0,7,5,2
Emelinda,0,0,0,0,0,0
